pais,anio,variante,n,libro,libro_es,libro_dif_pct,importado_pct,dom_mult_medio,dom_mult_mediano,dom_mult_max,dom_mult_pond,dom_directo_medio,dom_indirecto_medio,dom_a_max,dom_ci_sobre_vbp,dom_claves,dom_z_suma,tot_mult_medio,tot_mult_mediano,tot_mult_max,tot_mult_pond,tot_directo_medio,tot_indirecto_medio,tot_a_max,tot_ci_sobre_vbp,tot_claves,tot_z_suma,dif_mult_medio_pct,dif_mult_pond_pct,dif_directo_medio_pct,dif_indirecto_medio_pct,dif_ci_sobre_vbp_pct,ras_dom,ras_tot,min_dA,min_dL,celdas_dA_neg_pct,min_dcol_A,min_dmult,spearman_mult,spearman_fl,top10_comun,cambian_tipo,check_Lf_x_dom,check_Lf_x_tot,sector_max_gap,sector_max_gap_nombre,max_gap_pct,libro_z
Argentina,1997,MIPAr97 · sin prorrateo,124,MIP_Argentina_1997_LIBRO.xlsx,doméstica,1.4121548375101156e-08,9.870616905065887,1.7524941421998317,1.7484997355754694,2.506019984388336,1.63176674070972,0.4418310101709284,0.3106631320289032,0.8607179461184842,0.3778480078808191,14,167856140.71029615,2.039740638515403,2.1144971461475346,2.727651941413494,1.8030429007620665,0.521762727640088,0.5179779108753154,0.9118667815983771,0.41922844127627984,16,186239087.57202047,16.390725047160657,10.496362977581697,18.091015711694137,66.73298421105346,10.951608194931373,True,True,-6.13622534196348e-05,-5.9542420950187136e-05,9.501821019771072,0.0,0.0,0.7992698662470494,0.9253100018883363,5,33,1.677142715298036e-17,1.677142715298036e-17,86,Vehículos automotores,66.06166173412544,167856140.73400003
Argentina,2004,COU · prorrateo,162,MIP_Argentina_2004_LIBRO.xlsx,doméstica,1.6025392124419113e-08,10.000710698703397,1.7546754570273648,1.7533515915279811,2.66054932710359,1.7464339963625306,0.43198380898415933,0.32269164804320544,0.8693958924148408,0.42779275495462704,25,357040875.4162172,1.9763573080608203,2.010811449695993,2.881262617518478,1.941659199382071,0.4900192177102605,0.4863380903505601,0.8841062603467059,0.47532903679103156,26,396715216.517908,12.63378080234916,11.178504508395681,13.434625909377385,50.712946337378995,11.111988523846406,False,False,0.0,0.0,0.0,0.0,0.0,0.8989783518991308,0.961681011000302,5,24,2.6781004240934283e-17,1.7854002827289524e-17,FABRICACION DE TRANSMISORES DE,Fabricacion de transmisores de radio y telev,98.58022322297096,357040875.359
Argentina,2018,COU · prorrateo,107,MIP_Argentina_2018_LIBRO.xlsx,doméstica,1.2225775947172224e-10,11.269886123904072,1.746192916648865,1.775464073464809,2.516902518511035,1.6893192445982006,0.42563975720099023,0.32055315944787494,0.7964783289332242,0.39836067957021354,17,9532493818.893345,2.0108128316687255,2.036716932147108,3.3679820986304816,1.893558804313314,0.49335541037526454,0.5174574212934605,0.8459576160205817,0.4489577012450254,17,10743245334.052725,15.154105396767669,12.090051088223476,15.909146650109207,61.42639872423536,12.701309207876733,True,False,-0.007496104341891258,-0.007063139163261279,6.332430779980784,0.0,0.0,0.8985775583377418,0.9742916487047851,3,16,3.415472877123963e-14,1.494518470153426e-17,FABRICACION DE TUBOS VALVULAS ,"Fabricación de tubos, válvulas y otros compo",84.20950500358995,9532493818.904999
Argentina,2019,COU · prorrateo,107,MIP_Argentina_2019_LIBRO.xlsx,doméstica,2.7572388816565763e-10,10.327260439136943,1.7450050287576138,1.778023677674799,2.521681269551144,1.7016182873168013,0.4251804972124811,0.31982453154513274,0.7960074020654826,0.40431584157565553,17,14213506758.07019,1.9880502977969514,2.030405566896684,3.23752155587871,1.886684222205598,0.4898712192403463,0.49817907855660537,0.8440915200864926,0.45087932358890026,20,15850421017.21799,13.928055508950465,10.875878348758118,15.214884608297652,55.76637481490494,11.516610833694418,True,False,-0.001267567798439206,-0.000999586156926322,7.904620490872566,0.0,0.0,0.8975391367385724,0.9759474076106126,4,16,2.8084380175401278e-14,2.0346085613669122e-17,FABRICACION DE TUBOS VALVULAS ,"Fabricación de tubos, válvulas y otros compo",76.97078207739582,14213506758.031
Argentina,2020,COU · prorrateo,107,MIP_Argentina_2020_LIBRO.xlsx,doméstica,1.7197354651443675e-10,10.404151021898711,1.7489276177962163,1.7682525435174485,2.4903802006210727,1.7060906367409272,0.4273986437403696,0.32152897405584674,0.8001755548864118,0.40647218936324137,18,18023888411.814003,1.9958913352183785,2.0394818413031697,3.278504579001066,1.8975295926915396,0.4915352649182049,0.5043560703001732,0.8440966708824301,0.4536730149882166,18,20116878870.38086,14.12086554693186,11.220913580318935,15.006276252199836,56.8617794962923,11.612313673640905,True,False,-0.002800318705291613,-0.0017318137461663774,4.882522491047253,0.0,0.0,0.9009384980113248,0.9778758677451119,4,15,3.066916549311466e-14,2.1507128676798496e-17,FABRICACION DE TUBOS VALVULAS ,"Fabricación de tubos, válvulas y otros compo",74.6240686140645,18023888411.844997
Argentina,2021,COU · prorrateo,107,MIP_Argentina_2021_LIBRO.xlsx,doméstica,8.331113576787175e-11,11.128578076994856,1.7576576590561823,1.7899131943067124,2.447844484649047,1.7217949393024774,0.43131204753117347,0.32634561152500846,0.8156567621854695,0.4142431369841637,16,32028362619.45732,2.028912206439674,2.051552424723754,3.579020292441952,1.938641824837008,0.4980743552291712,0.5308378512105031,0.922971034347671,0.4661151222977487,17,36038989729.68553,15.432729234039154,12.59423410910816,15.478887751952364,62.66125005631462,12.522110973577337,True,False,-0.002335520304473343,-0.0007953426558903465,5.878242641278715,0.0,0.0,0.9026920590136954,0.9740663087353529,5,16,3.015162432592022e-14,2.158533138488868e-17,FABRICACION DE TUBOS VALVULAS ,"Fabricación de tubos, válvulas y otros compo",98.38782761868988,32028362619.484
Argentina,2022,COU · prorrateo,107,MIP_Argentina_2022_LIBRO.xlsx,doméstica,7.549516567451064e-12,11.013075348724843,1.7626424305776278,1.7886176830959248,2.4706792854419595,1.728048097332412,0.4324255115807223,0.3302169189969057,0.7958637513159272,0.4154065585762862,17,57623105631.58864,2.0396003868122987,2.056511768568322,3.4106010805413725,1.9526532425484437,0.4983279582859582,0.5412724285263407,0.8494140731956226,0.46681752426459827,18,64754575863.14386,15.712656828753978,12.997621163598104,15.240184711658422,63.91420226757452,12.37606018174382,True,False,-0.0017510554144790497,-0.00020878564303891678,5.712289282906804,0.0,0.0,0.8926899037990557,0.9756240937414273,4,15,2.963152783594006e-14,3.437532231547571e-17,FABRICACION DE TUBOS VALVULAS ,"Fabricación de tubos, válvulas y otros compo",100.69728640630515,57623105631.592995
Argentina,2023,COU · prorrateo,107,MIP_Argentina_2023_LIBRO.xlsx,doméstica,7.704947790898586e-12,9.96902177111021,1.7730311159881862,1.7863862905532142,2.377446252825596,1.7294614858006208,0.43425079817961826,0.3387803178085681,0.8047289199489852,0.413969472176307,17,134053918.48025265,2.007625333648364,2.036323962874433,3.3174350932703405,1.9211588413377716,0.4917526974160571,0.5158726362323072,0.8726743888608162,0.45980781317720865,20,148897547.39689863,13.231252150328366,11.084222291796708,13.24163351627381,52.27349675130986,11.072879543489478,True,False,-0.0008612982162676391,-2.637482556003875e-05,5.930648964975107,0.0,0.0,0.9232057838123788,0.9763882901595016,5,9,3.003694751293342e-14,2.3008002690872016e-17,FABRICACION DE TUBOS VALVULAS ,"Fabricación de tubos, válvulas y otros compo",89.03175414466304,134053918.480263
Brasil,2010,MIP n67 · sin prorrateo,67,MIP_Brasil_2010_LIBRO.xlsx,doméstica,4.422795463199236e-10,10.936102340247643,1.8131768212708679,1.8192212789802555,2.5174009174075977,1.7458792143373478,0.4471223290246041,0.36605449224626385,0.8047874235604644,0.4111121128348335,11,2713231.0,2.0997942487396695,2.1083242160374955,3.0073085160511233,1.974830385305776,0.513687517420863,0.5861067313188068,0.8208860805514558,0.46159232150987883,12,3046387.0,15.807472503862563,13.113803583217942,14.887466824005568,60.11461236883342,12.27893975853882,False,False,0.0,0.0,0.0,0.0,0.0,0.9184691515683616,0.9650411046372418,6,10,3.527878674732692e-17,1.763939337366346e-17,2600,"Fabricação de equipamentos de informática, p",65.9797462317965,2713230.999988
Brasil,2011,COU n68 · prorrateo,68,MIP_Brasil_2011_LIBRO.xlsx,doméstica,7.201017560021228e-10,9.37808647974937,1.826852531265415,1.8445699408201068,2.4832733836911407,1.7596191515486148,0.4517756661902338,0.37507686507518123,0.784522330566102,0.41660006228767654,12,3099009.5425463156,2.0753332704698444,2.080855528283718,3.1185145260102027,1.9659438348892562,0.5048428491125314,0.5704904213573124,0.9258302505279136,0.45971227720167473,13,3419713.2041951446,13.601576205623612,11.725530672876449,11.746357073590596,52.09960263557234,10.348585806074052,False,False,0.0,0.0,0.0,0.0,0.0,0.9616368286445012,0.9785089895789593,7,10,3.521186906062464e-17,2.3474579373749764e-17,2091,Fabricação de químicos orgânicos e inorgânic,45.64550363392239,3099009.5425239997
