"caso","objeto","n","suma_nuestra","suma_oficial","dif_suma_pct","max_dif_columna","max_dif_fila","correlacion","desvio_abs_pct"
"Argentina 1997","Z",124,167856.140734,167856.140710327,1.41033629219578e-08,6.82279539887531e-06,583.055326680292,0.979831121708269,21.9863552455853
"Brasil 2010","D",67,126.999977,127,-1.811023622178e-05,3.00000000008627e-06,0.000928832630294085,0.999999993391862,0.00173610026713978
"Brasil 2010","A",67,29.957196044222,29.9595832425847,-0.00796806265095373,0.00174948501915723,0.00291270521469356,0.999999828944633,0.026481943623121
"Brasil 2010","L",67,121.482847023462,121.489837054628,-0.00575359333400138,0.00360735517748223,0.00516426533479297,0.999999986654166,0.0135625293582901
"Brasil 2015","D",67,127.000003,127,2.36220472071835e-06,3.00000000008627e-06,0.000282942478367687,0.999999999407031,0.000659395038575556
"Brasil 2015","A",67,30.0002514919467,30.0013592915618,-0.00369249807771199,0.000890695286593524,0.00104048231493081,0.99999997565226,0.0101536057641014
"Brasil 2015","L",67,121.393883396502,121.397142382,-0.00268456524901151,0.00149332058760887,0.00184630612338399,0.999999998471643,0.00515741082584372
"Colombia 2019","Z",58,757403.100164,729402.999869929,3.83876955524773,4887.982921,8488.9091723218,0.965520990421066,25.4348122193716
"Colombia 2021","Z",58,886543.029636,848168,4.52446091293237,7872.74279999999,10275.3412483222,0.951646650750005,28.5929841620207
"México 2013","Z",262,8091685.03803,8091685.038,3.70747876843325e-10,1.10000000859145e-05,42249.38379,0.99976504409801,3.21043916232568
"Colombia 2019","L dom.",58,102.05550297749,98.8340065611619,3.25950199573708,0.360604019245532,0.679876336030734,0.991803541480765,13.562809470801
"Colombia 2019","L total",58,117.070806647461,117.086101631539,-0.0130630227367479,0.117960446877222,0.939158321506037,0.990633974463275,12.1826965034886
"Colombia 2021","L dom.",58,103.071640662091,99.4814441115908,3.60891076980456,0.456305838800177,0.853909050180644,0.989945874211385,14.9952906726864
"Colombia 2021","L total",58,120.582097998362,120.482575601175,0.0826031454676412,0.079031583367239,1.2540287928875,0.988748183870878,13.118365277746
